事件日期,社會住宅,遞補類型,房型,戶別,事件類型,前次數值,本次數值,變動量,事件描述
2026-07-09,大里光正一期,隨到隨辦,一房型,關懷戶,名冊總人數變化,515,521,6,大里光正一期／隨到隨辦／一房型／關懷戶 名冊總人數增加 6 人
2026-07-09,大里光正一期,隨到隨辦,一房型,關懷戶,已遞補人數變化,199,200,1,大里光正一期／隨到隨辦／一房型／關懷戶 已遞補人數增加 1 人
2026-07-09,大里光正一期,隨到隨辦,一房型,關懷戶,待遞補人數變化,177,182,5,大里光正一期／隨到隨辦／一房型／關懷戶 待遞補人數增加 5 人
2026-07-09,大里光正一期,隨到隨辦,三房型,一般戶,名冊總人數變化,265,266,1,大里光正一期／隨到隨辦／三房型／一般戶 名冊總人數增加 1 人
2026-07-09,大里光正一期,隨到隨辦,三房型,一般戶,待遞補人數變化,200,201,1,大里光正一期／隨到隨辦／三房型／一般戶 待遞補人數增加 1 人
2026-07-09,大里光正一期,隨到隨辦,三房型,關懷戶,名冊總人數變化,451,452,1,大里光正一期／隨到隨辦／三房型／關懷戶 名冊總人數增加 1 人
2026-07-09,大里光正一期,隨到隨辦,三房型,關懷戶,待遞補人數變化,362,363,1,大里光正一期／隨到隨辦／三房型／關懷戶 待遞補人數增加 1 人
2026-07-09,大里光正一期,隨到隨辦,二房型,一般戶,名冊總人數變化,742,750,8,大里光正一期／隨到隨辦／二房型／一般戶 名冊總人數增加 8 人
2026-07-09,大里光正一期,隨到隨辦,二房型,一般戶,已放棄人數變化,178,179,1,大里光正一期／隨到隨辦／二房型／一般戶 已放棄人數增加 1 人
2026-07-09,大里光正一期,隨到隨辦,二房型,一般戶,待遞補人數變化,430,437,7,大里光正一期／隨到隨辦／二房型／一般戶 待遞補人數增加 7 人
2026-07-09,大里光正一期,隨到隨辦,二房型,關懷戶,名冊總人數變化,564,570,6,大里光正一期／隨到隨辦／二房型／關懷戶 名冊總人數增加 6 人
2026-07-09,大里光正一期,隨到隨辦,二房型,關懷戶,待遞補人數變化,372,378,6,大里光正一期／隨到隨辦／二房型／關懷戶 待遞補人數增加 6 人
2026-07-09,太平育賢一期,隨到隨辦,一房型,一般戶,名冊總人數變化,3286,3306,20,太平育賢一期／隨到隨辦／一房型／一般戶 名冊總人數增加 20 人
2026-07-09,太平育賢一期,隨到隨辦,一房型,一般戶,已遞補人數變化,1412,1462,50,太平育賢一期／隨到隨辦／一房型／一般戶 已遞補人數增加 50 人
2026-07-09,太平育賢一期,隨到隨辦,一房型,一般戶,待遞補人數變化,1112,1082,-30,太平育賢一期／隨到隨辦／一房型／一般戶 待遞補人數減少 30 人
2026-07-09,太平育賢一期,隨到隨辦,一房型,關懷戶,名冊總人數變化,1118,1131,13,太平育賢一期／隨到隨辦／一房型／關懷戶 名冊總人數增加 13 人
2026-07-09,太平育賢一期,隨到隨辦,一房型,關懷戶,已遞補人數變化,440,460,20,太平育賢一期／隨到隨辦／一房型／關懷戶 已遞補人數增加 20 人
2026-07-09,太平育賢一期,隨到隨辦,一房型,關懷戶,待遞補人數變化,466,459,-7,太平育賢一期／隨到隨辦／一房型／關懷戶 待遞補人數減少 7 人
2026-07-09,太平育賢一期,隨到隨辦,三房型,一般戶,名冊總人數變化,297,299,2,太平育賢一期／隨到隨辦／三房型／一般戶 名冊總人數增加 2 人
2026-07-09,太平育賢一期,隨到隨辦,三房型,一般戶,待遞補人數變化,48,50,2,太平育賢一期／隨到隨辦／三房型／一般戶 待遞補人數增加 2 人
2026-07-09,太平育賢一期,隨到隨辦,三房型,關懷戶,名冊總人數變化,476,482,6,太平育賢一期／隨到隨辦／三房型／關懷戶 名冊總人數增加 6 人
2026-07-09,太平育賢一期,隨到隨辦,三房型,關懷戶,已放棄人數變化,88,89,1,太平育賢一期／隨到隨辦／三房型／關懷戶 已放棄人數增加 1 人
2026-07-09,太平育賢一期,隨到隨辦,三房型,關懷戶,已遞補人數變化,258,257,-1,太平育賢一期／隨到隨辦／三房型／關懷戶 已遞補人數減少 1 人
2026-07-09,太平育賢一期,隨到隨辦,三房型,關懷戶,待遞補人數變化,130,136,6,太平育賢一期／隨到隨辦／三房型／關懷戶 待遞補人數增加 6 人
2026-07-09,太平育賢一期,隨到隨辦,二房型,一般戶,名冊總人數變化,1169,1184,15,太平育賢一期／隨到隨辦／二房型／一般戶 名冊總人數增加 15 人
2026-07-09,太平育賢一期,隨到隨辦,二房型,一般戶,已放棄人數變化,260,261,1,太平育賢一期／隨到隨辦／二房型／一般戶 已放棄人數增加 1 人
2026-07-09,太平育賢一期,隨到隨辦,二房型,一般戶,待遞補人數變化,589,603,14,太平育賢一期／隨到隨辦／二房型／一般戶 待遞補人數增加 14 人
2026-07-09,太平育賢一期,隨到隨辦,二房型,關懷戶,名冊總人數變化,855,864,9,太平育賢一期／隨到隨辦／二房型／關懷戶 名冊總人數增加 9 人
2026-07-09,太平育賢一期,隨到隨辦,二房型,關懷戶,待遞補人數變化,466,475,9,太平育賢一期／隨到隨辦／二房型／關懷戶 待遞補人數增加 9 人
2026-07-09,太平育賢二期,隨到隨辦,一房型,一般戶,名冊總人數變化,2122,2144,22,太平育賢二期／隨到隨辦／一房型／一般戶 名冊總人數增加 22 人
2026-07-09,太平育賢二期,隨到隨辦,一房型,一般戶,已放棄人數變化,378,382,4,太平育賢二期／隨到隨辦／一房型／一般戶 已放棄人數增加 4 人
2026-07-09,太平育賢二期,隨到隨辦,一房型,一般戶,已遞補人數變化,293,300,7,太平育賢二期／隨到隨辦／一房型／一般戶 已遞補人數增加 7 人
2026-07-09,太平育賢二期,隨到隨辦,一房型,一般戶,待遞補人數變化,1451,1462,11,太平育賢二期／隨到隨辦／一房型／一般戶 待遞補人數增加 11 人
2026-07-09,太平育賢二期,隨到隨辦,一房型,關懷戶,名冊總人數變化,733,747,14,太平育賢二期／隨到隨辦／一房型／關懷戶 名冊總人數增加 14 人
2026-07-09,太平育賢二期,隨到隨辦,一房型,關懷戶,已放棄人數變化,108,109,1,太平育賢二期／隨到隨辦／一房型／關懷戶 已放棄人數增加 1 人
2026-07-09,太平育賢二期,隨到隨辦,一房型,關懷戶,已遞補人數變化,43,48,5,太平育賢二期／隨到隨辦／一房型／關懷戶 已遞補人數增加 5 人
2026-07-09,太平育賢二期,隨到隨辦,一房型,關懷戶,待遞補人數變化,582,590,8,太平育賢二期／隨到隨辦／一房型／關懷戶 待遞補人數增加 8 人
2026-07-09,太平育賢二期,隨到隨辦,三房型,一般戶,已遞補人數變化,70,71,1,太平育賢二期／隨到隨辦／三房型／一般戶 已遞補人數增加 1 人
2026-07-09,太平育賢二期,隨到隨辦,三房型,一般戶,待遞補人數變化,105,104,-1,太平育賢二期／隨到隨辦／三房型／一般戶 待遞補人數減少 1 人
2026-07-09,太平育賢二期,隨到隨辦,三房型,關懷戶,名冊總人數變化,409,414,5,太平育賢二期／隨到隨辦／三房型／關懷戶 名冊總人數增加 5 人
2026-07-09,太平育賢二期,隨到隨辦,三房型,關懷戶,已放棄人數變化,57,60,3,太平育賢二期／隨到隨辦／三房型／關懷戶 已放棄人數增加 3 人
2026-07-09,太平育賢二期,隨到隨辦,三房型,關懷戶,已遞補人數變化,121,122,1,太平育賢二期／隨到隨辦／三房型／關懷戶 已遞補人數增加 1 人
2026-07-09,太平育賢二期,隨到隨辦,三房型,關懷戶,待遞補人數變化,230,231,1,太平育賢二期／隨到隨辦／三房型／關懷戶 待遞補人數增加 1 人
2026-07-09,太平育賢二期,隨到隨辦,二房型,一般戶,名冊總人數變化,899,909,10,太平育賢二期／隨到隨辦／二房型／一般戶 名冊總人數增加 10 人
2026-07-09,太平育賢二期,隨到隨辦,二房型,一般戶,已放棄人數變化,143,146,3,太平育賢二期／隨到隨辦／二房型／一般戶 已放棄人數增加 3 人
2026-07-09,太平育賢二期,隨到隨辦,二房型,一般戶,已遞補人數變化,12,23,11,太平育賢二期／隨到隨辦／二房型／一般戶 已遞補人數增加 11 人
2026-07-09,太平育賢二期,隨到隨辦,二房型,一般戶,待遞補人數變化,744,740,-4,太平育賢二期／隨到隨辦／二房型／一般戶 待遞補人數減少 4 人
2026-07-09,太平育賢二期,隨到隨辦,二房型,關懷戶,名冊總人數變化,755,762,7,太平育賢二期／隨到隨辦／二房型／關懷戶 名冊總人數增加 7 人
2026-07-09,太平育賢二期,隨到隨辦,二房型,關懷戶,已放棄人數變化,108,110,2,太平育賢二期／隨到隨辦／二房型／關懷戶 已放棄人數增加 2 人
2026-07-09,太平育賢二期,隨到隨辦,二房型,關懷戶,已遞補人數變化,7,12,5,太平育賢二期／隨到隨辦／二房型／關懷戶 已遞補人數增加 5 人
2026-07-09,太平長億,隨到隨辦,一房型,一般戶,名冊總人數變化,260,278,18,太平長億／隨到隨辦／一房型／一般戶 名冊總人數增加 18 人
2026-07-09,太平長億,隨到隨辦,一房型,一般戶,已放棄人數變化,13,14,1,太平長億／隨到隨辦／一房型／一般戶 已放棄人數增加 1 人
2026-07-09,太平長億,隨到隨辦,一房型,一般戶,待遞補人數變化,242,259,17,太平長億／隨到隨辦／一房型／一般戶 待遞補人數增加 17 人
2026-07-09,太平長億,隨到隨辦,一房型,關懷戶,名冊總人數變化,114,125,11,太平長億／隨到隨辦／一房型／關懷戶 名冊總人數增加 11 人
2026-07-09,太平長億,隨到隨辦,一房型,關懷戶,已放棄人數變化,2,4,2,太平長億／隨到隨辦／一房型／關懷戶 已放棄人數增加 2 人
2026-07-09,太平長億,隨到隨辦,一房型,關懷戶,已遞補人數變化,1,0,-1,太平長億／隨到隨辦／一房型／關懷戶 已遞補人數減少 1 人
2026-07-09,太平長億,隨到隨辦,一房型,關懷戶,待遞補人數變化,111,121,10,太平長億／隨到隨辦／一房型／關懷戶 待遞補人數增加 10 人
2026-07-09,太平長億,隨到隨辦,三房型,一般戶,名冊總人數變化,37,38,1,太平長億／隨到隨辦／三房型／一般戶 名冊總人數增加 1 人
2026-07-09,太平長億,隨到隨辦,三房型,一般戶,待遞補人數變化,33,34,1,太平長億／隨到隨辦／三房型／一般戶 待遞補人數增加 1 人
2026-07-09,太平長億,隨到隨辦,三房型,關懷戶,名冊總人數變化,89,96,7,太平長億／隨到隨辦／三房型／關懷戶 名冊總人數增加 7 人
2026-07-09,太平長億,隨到隨辦,三房型,關懷戶,待遞補人數變化,84,91,7,太平長億／隨到隨辦／三房型／關懷戶 待遞補人數增加 7 人
2026-07-09,太平長億,隨到隨辦,二房型,一般戶,名冊總人數變化,135,139,4,太平長億／隨到隨辦／二房型／一般戶 名冊總人數增加 4 人
2026-07-09,太平長億,隨到隨辦,二房型,一般戶,已遞補人數變化,5,2,-3,太平長億／隨到隨辦／二房型／一般戶 已遞補人數減少 3 人
2026-07-09,太平長億,隨到隨辦,二房型,一般戶,待遞補人數變化,122,129,7,太平長億／隨到隨辦／二房型／一般戶 待遞補人數增加 7 人
2026-07-09,太平長億,隨到隨辦,二房型,關懷戶,名冊總人數變化,112,118,6,太平長億／隨到隨辦／二房型／關懷戶 名冊總人數增加 6 人
2026-07-09,太平長億,隨到隨辦,二房型,關懷戶,待遞補人數變化,103,109,6,太平長億／隨到隨辦／二房型／關懷戶 待遞補人數增加 6 人
2026-07-09,東區台中公園一期,新案場招租,一房型,一般戶,名冊總人數變化,1336,1337,1,東區台中公園一期／新案場招租／一房型／一般戶 名冊總人數增加 1 人
2026-07-09,東區台中公園一期,新案場招租,一房型,一般戶,已遞補人數變化,117,118,1,東區台中公園一期／新案場招租／一房型／一般戶 已遞補人數增加 1 人
2026-07-09,東區台中公園一期,新案場招租,一房型,關懷戶,名冊總人數變化,239,238,-1,東區台中公園一期／新案場招租／一房型／關懷戶 名冊總人數減少 1 人
2026-07-09,東區台中公園一期,新案場招租,一房型,關懷戶,已遞補人數變化,136,135,-1,東區台中公園一期／新案場招租／一房型／關懷戶 已遞補人數減少 1 人
2026-07-09,東區台中公園一期,新案場招租,三房型,一般戶,名冊總人數變化,70,69,-1,東區台中公園一期／新案場招租／三房型／一般戶 名冊總人數減少 1 人
2026-07-09,東區台中公園一期,新案場招租,三房型,一般戶,已遞補人數變化,31,30,-1,東區台中公園一期／新案場招租／三房型／一般戶 已遞補人數減少 1 人
2026-07-09,東區台中公園一期,新案場招租,三房型,關懷戶,名冊總人數變化,94,95,1,東區台中公園一期／新案場招租／三房型／關懷戶 名冊總人數增加 1 人
2026-07-09,東區台中公園一期,新案場招租,三房型,關懷戶,已遞補人數變化,20,21,1,東區台中公園一期／新案場招租／三房型／關懷戶 已遞補人數增加 1 人
2026-07-09,東區恊園,隨到隨辦,一房型,一般戶,名冊總人數變化,20,127,107,東區恊園／隨到隨辦／一房型／一般戶 名冊總人數增加 107 人
2026-07-09,東區恊園,隨到隨辦,一房型,一般戶,待遞補人數變化,20,127,107,東區恊園／隨到隨辦／一房型／一般戶 待遞補人數增加 107 人
2026-07-09,東區恊園,隨到隨辦,一房型,關懷戶,名冊總人數變化,7,57,50,東區恊園／隨到隨辦／一房型／關懷戶 名冊總人數增加 50 人
2026-07-09,東區恊園,隨到隨辦,一房型,關懷戶,已放棄人數變化,0,1,1,東區恊園／隨到隨辦／一房型／關懷戶 已放棄人數增加 1 人
2026-07-09,東區恊園,隨到隨辦,一房型,關懷戶,待遞補人數變化,7,56,49,東區恊園／隨到隨辦／一房型／關懷戶 待遞補人數增加 49 人
2026-07-09,東區恊園,隨到隨辦,三房型,一般戶,名冊總人數變化,2,9,7,東區恊園／隨到隨辦／三房型／一般戶 名冊總人數增加 7 人
2026-07-09,東區恊園,隨到隨辦,三房型,一般戶,待遞補人數變化,2,9,7,東區恊園／隨到隨辦／三房型／一般戶 待遞補人數增加 7 人
2026-07-09,東區恊園,隨到隨辦,三房型,關懷戶,名冊總人數變化,2,19,17,東區恊園／隨到隨辦／三房型／關懷戶 名冊總人數增加 17 人
2026-07-09,東區恊園,隨到隨辦,三房型,關懷戶,待遞補人數變化,2,19,17,東區恊園／隨到隨辦／三房型／關懷戶 待遞補人數增加 17 人
2026-07-09,東區恊園,隨到隨辦,二房型,一般戶,名冊總人數變化,10,54,44,東區恊園／隨到隨辦／二房型／一般戶 名冊總人數增加 44 人
2026-07-09,東區恊園,隨到隨辦,二房型,一般戶,已放棄人數變化,0,1,1,東區恊園／隨到隨辦／二房型／一般戶 已放棄人數增加 1 人
2026-07-09,東區恊園,隨到隨辦,二房型,一般戶,待遞補人數變化,10,53,43,東區恊園／隨到隨辦／二房型／一般戶 待遞補人數增加 43 人
2026-07-09,東區恊園,隨到隨辦,二房型,關懷戶,名冊總人數變化,9,46,37,東區恊園／隨到隨辦／二房型／關懷戶 名冊總人數增加 37 人
2026-07-09,東區恊園,隨到隨辦,二房型,關懷戶,待遞補人數變化,9,46,37,東區恊園／隨到隨辦／二房型／關懷戶 待遞補人數增加 37 人
2026-07-09,梧棲三民,隨到隨辦,一房型,一般戶,名冊總人數變化,725,726,1,梧棲三民／隨到隨辦／一房型／一般戶 名冊總人數增加 1 人
2026-07-09,梧棲三民,隨到隨辦,一房型,一般戶,已放棄人數變化,181,182,1,梧棲三民／隨到隨辦／一房型／一般戶 已放棄人數增加 1 人
2026-07-09,梧棲三民,隨到隨辦,一房型,一般戶,已遞補人數變化,531,541,10,梧棲三民／隨到隨辦／一房型／一般戶 已遞補人數增加 10 人
2026-07-09,梧棲三民,隨到隨辦,一房型,一般戶,待遞補人數變化,13,3,-10,梧棲三民／隨到隨辦／一房型／一般戶 待遞補人數減少 10 人
2026-07-09,梧棲三民,隨到隨辦,一房型,關懷戶,名冊總人數變化,323,327,4,梧棲三民／隨到隨辦／一房型／關懷戶 名冊總人數增加 4 人
2026-07-09,梧棲三民,隨到隨辦,一房型,關懷戶,已放棄人數變化,52,53,1,梧棲三民／隨到隨辦／一房型／關懷戶 已放棄人數增加 1 人
2026-07-09,梧棲三民,隨到隨辦,一房型,關懷戶,已遞補人數變化,260,269,9,梧棲三民／隨到隨辦／一房型／關懷戶 已遞補人數增加 9 人
2026-07-09,梧棲三民,隨到隨辦,一房型,關懷戶,待遞補人數變化,11,5,-6,梧棲三民／隨到隨辦／一房型／關懷戶 待遞補人數減少 6 人
2026-07-09,梧棲三民,隨到隨辦,三房型,一般戶,已遞補人數變化,25,26,1,梧棲三民／隨到隨辦／三房型／一般戶 已遞補人數增加 1 人
2026-07-09,梧棲三民,隨到隨辦,三房型,一般戶,待遞補人數變化,28,27,-1,梧棲三民／隨到隨辦／三房型／一般戶 待遞補人數減少 1 人
2026-07-09,梧棲三民,隨到隨辦,三房型,關懷戶,名冊總人數變化,154,156,2,梧棲三民／隨到隨辦／三房型／關懷戶 名冊總人數增加 2 人
2026-07-09,梧棲三民,隨到隨辦,三房型,關懷戶,待遞補人數變化,78,80,2,梧棲三民／隨到隨辦／三房型／關懷戶 待遞補人數增加 2 人
2026-07-09,梧棲三民,隨到隨辦,二房型,一般戶,名冊總人數變化,296,297,1,梧棲三民／隨到隨辦／二房型／一般戶 名冊總人數增加 1 人
2026-07-09,梧棲三民,隨到隨辦,二房型,一般戶,已放棄人數變化,75,76,1,梧棲三民／隨到隨辦／二房型／一般戶 已放棄人數增加 1 人
2026-07-09,梧棲三民,隨到隨辦,二房型,一般戶,已遞補人數變化,186,190,4,梧棲三民／隨到隨辦／二房型／一般戶 已遞補人數增加 4 人
2026-07-09,梧棲三民,隨到隨辦,二房型,一般戶,待遞補人數變化,35,31,-4,梧棲三民／隨到隨辦／二房型／一般戶 待遞補人數減少 4 人
2026-07-09,梧棲三民,隨到隨辦,二房型,關懷戶,名冊總人數變化,222,226,4,梧棲三民／隨到隨辦／二房型／關懷戶 名冊總人數增加 4 人
2026-07-09,梧棲三民,隨到隨辦,二房型,關懷戶,已放棄人數變化,42,43,1,梧棲三民／隨到隨辦／二房型／關懷戶 已放棄人數增加 1 人
2026-07-09,梧棲三民,隨到隨辦,二房型,關懷戶,已遞補人數變化,137,140,3,梧棲三民／隨到隨辦／二房型／關懷戶 已遞補人數增加 3 人
2026-07-09,西屯國安一期,隨到隨辦,一房型,一般戶,名冊總人數變化,17,72,55,西屯國安一期／隨到隨辦／一房型／一般戶 名冊總人數增加 55 人
2026-07-09,西屯國安一期,隨到隨辦,一房型,一般戶,待遞補人數變化,17,72,55,西屯國安一期／隨到隨辦／一房型／一般戶 待遞補人數增加 55 人
2026-07-09,西屯國安一期,隨到隨辦,一房型,關懷戶,名冊總人數變化,8,21,13,西屯國安一期／隨到隨辦／一房型／關懷戶 名冊總人數增加 13 人
2026-07-09,西屯國安一期,隨到隨辦,一房型,關懷戶,待遞補人數變化,8,21,13,西屯國安一期／隨到隨辦／一房型／關懷戶 待遞補人數增加 13 人
2026-07-09,西屯國安一期,隨到隨辦,三房型,一般戶,名冊總人數變化,2,7,5,西屯國安一期／隨到隨辦／三房型／一般戶 名冊總人數增加 5 人
2026-07-09,西屯國安一期,隨到隨辦,三房型,一般戶,待遞補人數變化,2,7,5,西屯國安一期／隨到隨辦／三房型／一般戶 待遞補人數增加 5 人
2026-07-09,西屯國安一期,隨到隨辦,三房型,關懷戶,名冊總人數變化,3,23,20,西屯國安一期／隨到隨辦／三房型／關懷戶 名冊總人數增加 20 人
2026-07-09,西屯國安一期,隨到隨辦,三房型,關懷戶,待遞補人數變化,3,23,20,西屯國安一期／隨到隨辦／三房型／關懷戶 待遞補人數增加 20 人
2026-07-09,西屯國安一期,隨到隨辦,二房型,一般戶,名冊總人數變化,12,39,27,西屯國安一期／隨到隨辦／二房型／一般戶 名冊總人數增加 27 人
2026-07-09,西屯國安一期,隨到隨辦,二房型,一般戶,待遞補人數變化,12,39,27,西屯國安一期／隨到隨辦／二房型／一般戶 待遞補人數增加 27 人
2026-07-09,西屯國安一期,隨到隨辦,二房型,關懷戶,名冊總人數變化,9,32,23,西屯國安一期／隨到隨辦／二房型／關懷戶 名冊總人數增加 23 人
2026-07-09,西屯國安一期,隨到隨辦,二房型,關懷戶,待遞補人數變化,9,32,23,西屯國安一期／隨到隨辦／二房型／關懷戶 待遞補人數增加 23 人
2026-07-09,豐原安康一期,隨到隨辦,一房型,一般戶,名冊總人數變化,1206,1212,6,豐原安康一期／隨到隨辦／一房型／一般戶 名冊總人數增加 6 人
2026-07-09,豐原安康一期,隨到隨辦,一房型,一般戶,已放棄人數變化,287,291,4,豐原安康一期／隨到隨辦／一房型／一般戶 已放棄人數增加 4 人
2026-07-09,豐原安康一期,隨到隨辦,一房型,一般戶,已遞補人數變化,508,541,33,豐原安康一期／隨到隨辦／一房型／一般戶 已遞補人數增加 33 人
2026-07-09,豐原安康一期,隨到隨辦,一房型,一般戶,待遞補人數變化,411,380,-31,豐原安康一期／隨到隨辦／一房型／一般戶 待遞補人數減少 31 人
2026-07-09,豐原安康一期,隨到隨辦,一房型,關懷戶,名冊總人數變化,576,584,8,豐原安康一期／隨到隨辦／一房型／關懷戶 名冊總人數增加 8 人
2026-07-09,豐原安康一期,隨到隨辦,一房型,關懷戶,已遞補人數變化,214,243,29,豐原安康一期／隨到隨辦／一房型／關懷戶 已遞補人數增加 29 人
2026-07-09,豐原安康一期,隨到隨辦,一房型,關懷戶,待遞補人數變化,215,194,-21,豐原安康一期／隨到隨辦／一房型／關懷戶 待遞補人數減少 21 人
2026-07-09,豐原安康一期,隨到隨辦,三房型,一般戶,名冊總人數變化,196,197,1,豐原安康一期／隨到隨辦／三房型／一般戶 名冊總人數增加 1 人
2026-07-09,豐原安康一期,隨到隨辦,三房型,一般戶,已放棄人數變化,44,45,1,豐原安康一期／隨到隨辦／三房型／一般戶 已放棄人數增加 1 人
2026-07-09,豐原安康一期,隨到隨辦,三房型,一般戶,已遞補人數變化,57,60,3,豐原安康一期／隨到隨辦／三房型／一般戶 已遞補人數增加 3 人
2026-07-09,豐原安康一期,隨到隨辦,三房型,一般戶,待遞補人數變化,95,92,-3,豐原安康一期／隨到隨辦／三房型／一般戶 待遞補人數減少 3 人
2026-07-09,豐原安康一期,隨到隨辦,三房型,關懷戶,名冊總人數變化,380,381,1,豐原安康一期／隨到隨辦／三房型／關懷戶 名冊總人數增加 1 人
2026-07-09,豐原安康一期,隨到隨辦,三房型,關懷戶,待遞補人數變化,235,236,1,豐原安康一期／隨到隨辦／三房型／關懷戶 待遞補人數增加 1 人
2026-07-09,豐原安康一期,隨到隨辦,二房型,一般戶,名冊總人數變化,724,729,5,豐原安康一期／隨到隨辦／二房型／一般戶 名冊總人數增加 5 人
2026-07-09,豐原安康一期,隨到隨辦,二房型,一般戶,已遞補人數變化,65,67,2,豐原安康一期／隨到隨辦／二房型／一般戶 已遞補人數增加 2 人
2026-07-09,豐原安康一期,隨到隨辦,二房型,一般戶,待遞補人數變化,508,511,3,豐原安康一期／隨到隨辦／二房型／一般戶 待遞補人數增加 3 人
2026-07-09,豐原安康一期,隨到隨辦,二房型,關懷戶,名冊總人數變化,620,630,10,豐原安康一期／隨到隨辦／二房型／關懷戶 名冊總人數增加 10 人
2026-07-09,豐原安康一期,隨到隨辦,二房型,關懷戶,已遞補人數變化,64,68,4,豐原安康一期／隨到隨辦／二房型／關懷戶 已遞補人數增加 4 人
2026-07-09,豐原安康一期,隨到隨辦,二房型,關懷戶,待遞補人數變化,447,453,6,豐原安康一期／隨到隨辦／二房型／關懷戶 待遞補人數增加 6 人
2026-07-10,南屯建功1號,隨到隨辦,二房型,關懷戶,名冊總人數變化,21,22,1,南屯建功1號／隨到隨辦／二房型／關懷戶 名冊總人數增加 1 人
2026-07-10,南屯建功1號,隨到隨辦,二房型,關懷戶,待遞補人數變化,21,22,1,南屯建功1號／隨到隨辦／二房型／關懷戶 待遞補人數增加 1 人
2026-07-10,南屯建功2、3號,隨到隨辦,一房型,一般戶,名冊總人數變化,679,682,3,南屯建功2、3號／隨到隨辦／一房型／一般戶 名冊總人數增加 3 人
2026-07-10,南屯建功2、3號,隨到隨辦,一房型,一般戶,已放棄人數變化,37,38,1,南屯建功2、3號／隨到隨辦／一房型／一般戶 已放棄人數增加 1 人
2026-07-10,南屯建功2、3號,隨到隨辦,一房型,一般戶,待遞補人數變化,637,639,2,南屯建功2、3號／隨到隨辦／一房型／一般戶 待遞補人數增加 2 人
2026-07-10,南屯建功2、3號,隨到隨辦,二房型,關懷戶,名冊總人數變化,180,181,1,南屯建功2、3號／隨到隨辦／二房型／關懷戶 名冊總人數增加 1 人
2026-07-10,南屯建功2、3號,隨到隨辦,二房型,關懷戶,待遞補人數變化,157,158,1,南屯建功2、3號／隨到隨辦／二房型／關懷戶 待遞補人數增加 1 人
2026-07-10,南屯精科,隨到隨辦,一房型,一般戶,已放棄人數變化,658,661,3,南屯精科／隨到隨辦／一房型／一般戶 已放棄人數增加 3 人
2026-07-10,南屯精科,隨到隨辦,一房型,一般戶,已遞補人數變化,904,901,-3,南屯精科／隨到隨辦／一房型／一般戶 已遞補人數減少 3 人
2026-07-10,南屯精科,隨到隨辦,二房型,關懷戶,名冊總人數變化,687,688,1,南屯精科／隨到隨辦／二房型／關懷戶 名冊總人數增加 1 人
2026-07-10,南屯精科,隨到隨辦,二房型,關懷戶,待遞補人數變化,447,448,1,南屯精科／隨到隨辦／二房型／關懷戶 待遞補人數增加 1 人
2026-07-10,太平育賢一期,隨到隨辦,一房型,一般戶,已放棄人數變化,761,762,1,太平育賢一期／隨到隨辦／一房型／一般戶 已放棄人數增加 1 人
2026-07-10,太平育賢一期,隨到隨辦,一房型,一般戶,待遞補人數變化,1082,1081,-1,太平育賢一期／隨到隨辦／一房型／一般戶 待遞補人數減少 1 人
2026-07-10,太平育賢二期,隨到隨辦,一房型,一般戶,名冊總人數變化,2144,2145,1,太平育賢二期／隨到隨辦／一房型／一般戶 名冊總人數增加 1 人
2026-07-10,太平育賢二期,隨到隨辦,一房型,一般戶,已放棄人數變化,382,383,1,太平育賢二期／隨到隨辦／一房型／一般戶 已放棄人數增加 1 人
2026-07-10,梧棲三民,隨到隨辦,一房型,一般戶,已放棄人數變化,182,183,1,梧棲三民／隨到隨辦／一房型／一般戶 已放棄人數增加 1 人
2026-07-10,梧棲三民,隨到隨辦,一房型,一般戶,已遞補人數變化,541,540,-1,梧棲三民／隨到隨辦／一房型／一般戶 已遞補人數減少 1 人
2026-07-10,梧棲三民,隨到隨辦,一房型,關懷戶,名冊總人數變化,327,328,1,梧棲三民／隨到隨辦／一房型／關懷戶 名冊總人數增加 1 人
2026-07-10,梧棲三民,隨到隨辦,一房型,關懷戶,已遞補人數變化,269,270,1,梧棲三民／隨到隨辦／一房型／關懷戶 已遞補人數增加 1 人
2026-07-10,梧棲三民,隨到隨辦,二房型,關懷戶,名冊總人數變化,226,228,2,梧棲三民／隨到隨辦／二房型／關懷戶 名冊總人數增加 2 人
2026-07-10,梧棲三民,隨到隨辦,二房型,關懷戶,待遞補人數變化,43,45,2,梧棲三民／隨到隨辦／二房型／關懷戶 待遞補人數增加 2 人
2026-07-10,豐原安康一期,隨到隨辦,一房型,一般戶,已放棄人數變化,291,292,1,豐原安康一期／隨到隨辦／一房型／一般戶 已放棄人數增加 1 人
2026-07-10,豐原安康一期,隨到隨辦,一房型,一般戶,待遞補人數變化,380,379,-1,豐原安康一期／隨到隨辦／一房型／一般戶 待遞補人數減少 1 人
2026-07-10,豐原安康一期,隨到隨辦,一房型,關懷戶,名冊總人數變化,584,585,1,豐原安康一期／隨到隨辦／一房型／關懷戶 名冊總人數增加 1 人
2026-07-10,豐原安康一期,隨到隨辦,一房型,關懷戶,待遞補人數變化,194,195,1,豐原安康一期／隨到隨辦／一房型／關懷戶 待遞補人數增加 1 人
2026-07-10,豐原安康一期,隨到隨辦,二房型,關懷戶,名冊總人數變化,630,631,1,豐原安康一期／隨到隨辦／二房型／關懷戶 名冊總人數增加 1 人
